user_id,date,amount,category,transaction_type
CUST007,2024-01-01,2107.85,Service Revenue,Income
CUST007,2024-01-01,1125.54,Marketing,Expense
CUST007,2024-01-02,3947.36,Sales,Income
CUST007,2024-01-02,695.3,Insurance,Expense
CUST007,2024-01-03,488.57,Investment Income,Income
CUST007,2024-01-03,1126.48,Repairs,Expense
CUST007,2024-01-04,1546.36,Consulting Income,Income
CUST007,2024-01-04,891.59,Professional Fees,Expense
CUST007,2024-01-05,4394.78,Revenue,Income
CUST007,2024-01-05,1557.7,Employee Salary,Expense
CUST007,2024-01-06,2710.26,Investment Income,Income
CUST007,2024-01-06,1268.35,Professional Fees,Expense
CUST007,2024-01-07,4760.92,Revenue,Income
CUST007,2024-01-07,1455.02,Transportation,Expense
CUST007,2024-01-08,2635.1,Revenue,Income
CUST007,2024-01-08,2090.49,Transportation,Expense
CUST007,2024-01-09,607.5,Consulting Income,Income
CUST007,2024-01-09,1483.78,Office Supplies,Expense
CUST007,2024-01-10,2053.67,Freelance Income,Income
CUST007,2024-01-10,1440.55,Transportation,Expense
CUST007,2024-01-11,2102.64,Freelance Income,Income
CUST007,2024-01-11,2960.55,Professional Fees,Expense
CUST007,2024-01-12,1972.66,Investment Income,Income
CUST007,2024-01-12,2706.06,Inventory,Expense
CUST007,2024-01-13,638.36,Consulting Income,Income
CUST007,2024-01-13,432.66,Transportation,Expense
CUST007,2024-01-14,719.53,Revenue,Income
CUST007,2024-01-14,114.74,Professional Fees,Expense
CUST007,2024-01-15,2062.53,Rental Income,Income
CUST007,2024-01-15,731.12,Rent,Expense
CUST007,2024-01-16,2770.92,Sales,Income
CUST007,2024-01-16,772.9,Inventory,Expense
CUST007,2024-01-17,3538.74,Interest Income,Income
CUST007,2024-01-17,422.25,Utilities,Expense
CUST007,2024-01-18,589.45,Sales,Income
CUST007,2024-01-18,149.5,Professional Fees,Expense
CUST007,2024-01-19,2769.15,Commission,Income
CUST007,2024-01-19,941.51,Transportation,Expense
CUST007,2024-01-20,3469.5,Service Revenue,Income
CUST007,2024-01-20,178.94,Office Supplies,Expense
CUST007,2024-01-21,4174.6,Commission,Income
CUST007,2024-01-21,2443.08,Transportation,Expense
CUST007,2024-01-22,2756.06,Revenue,Income
CUST007,2024-01-22,1774.68,Professional Fees,Expense
CUST007,2024-01-23,2876.58,Investment Income,Income
CUST007,2024-01-23,1299.25,Entertainment,Expense
CUST007,2024-01-24,891.93,Interest Income,Income
CUST007,2024-01-24,1812.63,Marketing,Expense
CUST007,2024-01-25,363.16,Revenue,Income
CUST007,2024-01-25,2507.68,Inventory,Expense
CUST007,2024-01-26,4697.95,Sales,Income
CUST007,2024-01-26,1608.04,Repairs,Expense
CUST007,2024-01-27,1513.24,Interest Income,Income
CUST007,2024-01-27,461.73,Employee Salary,Expense
CUST007,2024-01-28,3625.81,Consulting Income,Income
CUST007,2024-01-28,2977.0,Rent,Expense
CUST007,2024-01-29,1396.56,Service Revenue,Income
CUST007,2024-01-29,2153.19,Inventory,Expense
CUST007,2024-01-30,610.26,Consulting Income,Income
CUST007,2024-01-30,1981.73,Office Supplies,Expense
CUST007,2024-01-31,3227.55,Freelance Income,Income
CUST007,2024-01-31,620.89,Utilities,Expense
CUST007,2024-02-01,2431.9,Investment Income,Income
CUST007,2024-02-01,2217.03,Insurance,Expense
CUST007,2024-02-02,820.19,Service Revenue,Income
CUST007,2024-02-02,730.23,Repairs,Expense
CUST007,2024-02-03,4081.26,Service Revenue,Income
CUST007,2024-02-03,1208.13,Transportation,Expense
CUST007,2024-02-04,3423.7,Sales,Income
CUST007,2024-02-04,1155.38,Rent,Expense
CUST007,2024-02-05,3449.89,Commission,Income
CUST007,2024-02-05,1136.44,Inventory,Expense
CUST007,2024-02-06,2529.27,Interest Income,Income
CUST007,2024-02-06,918.13,Marketing,Expense
CUST007,2024-02-07,3435.72,Consulting Income,Income
CUST007,2024-02-07,2911.56,Marketing,Expense
CUST007,2024-02-08,3198.59,Consulting Income,Income
CUST007,2024-02-08,1087.48,Insurance,Expense
CUST007,2024-02-09,817.12,Sales,Income
CUST007,2024-02-09,355.25,Rent,Expense
CUST007,2024-02-10,1125.7,Service Revenue,Income
CUST007,2024-02-10,374.0,Employee Salary,Expense
CUST007,2024-02-11,3086.55,Service Revenue,Income
CUST007,2024-02-11,757.54,Professional Fees,Expense
CUST007,2024-02-12,4531.91,Freelance Income,Income
CUST007,2024-02-12,1869.3,Office Supplies,Expense
CUST007,2024-02-13,3306.92,Revenue,Income
CUST007,2024-02-13,1146.83,Rent,Expense
CUST007,2024-02-14,2365.56,Consulting Income,Income
CUST007,2024-02-14,2024.4,Office Supplies,Expense
CUST007,2024-02-15,3093.45,Revenue,Income
CUST007,2024-02-15,1498.3,Inventory,Expense
CUST007,2024-02-16,4297.01,Sales,Income
CUST007,2024-02-16,1636.21,Marketing,Expense
CUST007,2024-02-17,3623.06,Consulting Income,Income
CUST007,2024-02-17,2674.96,Insurance,Expense
CUST007,2024-02-18,826.59,Sales,Income
CUST007,2024-02-18,231.77,Professional Fees,Expense
CUST007,2024-02-19,3180.29,Freelance Income,Income
CUST007,2024-02-19,67.09,Entertainment,Expense
CUST007,2024-02-20,4236.91,Sales,Income
CUST007,2024-02-20,1126.54,Office Supplies,Expense
CUST007,2024-02-21,202.78,Consulting Income,Income
CUST007,2024-02-21,67.06,Repairs,Expense
CUST007,2024-02-22,3285.29,Investment Income,Income
CUST007,2024-02-22,2975.93,Rent,Expense
